Latitude,Longitude,Country,Continent,Continent_Label
20.82488495242425,-98.4995168750031,MEXICO,NA,5
-3.451751519941929,-54.56393669442629,BRAZIL,SA,1
-23.49646370724957,-47.46054192877304,BRAZIL,SA,1
-16.54867768215992,-72.85277757778933,PERU,SA,1
-35.01086956822798,140.0643972281242,AUSTRALIA,OC,3
-14.22366709242555,-43.75370355089348,BRAZIL,SA,1
38.06349662047413,32.59794981072594,TURKEY,AS,2
-22.81322953983346,22.03515411702966,BOTSWANA,AF,0
-11.71737961430426,-57.05230862800925,BRAZIL,SA,1
-27.07860659183209,146.7192057259385,AUSTRALIA,OC,3
46.7190546579335,9.459717887642416,SWITZERLAND,EU,4
16.22639439804119,-14.07406777202994,SENEGAL,AF,0
16.5252514,79.2460586,INDIA,AS,2
-25.51086251841673,-63.008730038517,ARGENTINA,SA,1
26.33348412344797,-102.6598057146028,MEXICO,NA,5
2.253234337809251,99.64904229444545,INDONESIA,AS,2
55.60493951660946,124.9186252497191,RUSSIA,EU,4
-28.64395624575814,134.3537936567247,AUSTRALIA,OC,3
0.000271324835484745,40.3844865637608,KENYA,AF,0
-10.78139947889749,-38.35723400463867,BRAZIL,SA,1
44.08487931922483,111.1884431217673,MONGOLIA,AS,2
-24.09338219413188,-50.35383822161381,BRAZIL,SA,1
-39.7186849620437,-70.57281280568168,ARGENTINA,SA,1
54.43463977836075,36.36091837481211,RUSSIA,EU,4
-7.119905294909245,111.5604725471281,INDONESIA,AS,2
-14.94045156452811,143.5541589000059,AUSTRALIA,OC,3
46.9643159314459,91.45170001556727,MONGOLIA,AS,2
41.84265812329956,33.7320402191934,TURKEY,AS,2
-32.36562311268825,-66.93578980593111,ARGENTINA,SA,1
-33.0749917723431,-64.7252775072923,ARGENTINA,SA,1
46.4669077884451,19.61027161389356,HUNGARY,EU,4
-8.709749020628824,-69.55795020808074,BRAZIL,SA,1
-33.91484880968488,-57.762511569757,URUGUAY,SA,1
37.41052792894094,40.84768713349357,TURKEY,AS,2
1.215827406976527,34.73411179362103,KENYA,AF,0
-28.30400068200142,24.5541366152796,SOUTH AFRICA,AF,0
12.20986266277137,105.3137641877571,CAMBODIA,AS,2
-32.31093667642137,125.1562394626713,AUSTRALIA,OC,3
50.07412766656213,18.8225930819204,POLAND,EU,4
-31.88003045957366,141.791938216418,AUSTRALIA,OC,3
42.297219589617,24.92379085803208,BULGARIA,EU,4
-37.78817006174393,144.2142406438771,AUSTRALIA,OC,3
-18.10151080032248,135.6636376147324,AUSTRALIA,OC,3
8.872528611649233,11.41777784339812,NIGERIA,AF,0
0.6142448904224134,39.23578177903842,KENYA,AF,0
-47.6670838613972,-67.99612515659021,ARGENTINA,SA,1
51.21399068953726,34.1192187183625,UKRAINE,EU,4
-25.86926098045765,143.3897193135586,AUSTRALIA,OC,3
65.78097231034039,45.03256738982653,RUSSIA,EU,4
-21.97059912955327,133.4859637989699,AUSTRALIA,OC,3
-0.9080529278841009,-60.5168680692468,BRAZIL,SA,1
-33.74513013463434,24.63639356689605,SOUTH AFRICA,AF,0
-18.22216564537471,142.8091744216797,AUSTRALIA,OC,3
-11.55804734801942,-51.02835866714529,BRAZIL,SA,1
-36.49550657532221,-60.79786055747833,ARGENTINA,SA,1
-10.05753479347067,-67.96381212404177,BRAZIL,SA,1
-38.34482905151659,-68.53479239160133,ARGENTINA,SA,1
-34.69906512816399,150.6869225038963,AUSTRALIA,OC,3
47.4430215258415,109.7139336608407,MONGOLIA,AS,2
-0.6317656,114.5728442,INDONESIA,AS,2
61.31526073847985,13.17819543331686,SWEDEN,EU,4
-24.94086411122146,-51.87221319988299,BRAZIL,SA,1
-13.32046326833171,-46.5715053907102,BRAZIL,SA,1
45.28486938348586,19.13481545480892,SERBIA,EU,4
7.008317747589803,-1.13548735601492,GHANA,AF,0
53.94779354523629,-7.368339320735456,IRELAND,EU,4
-31.56551477474678,23.26475000882004,SOUTH AFRICA,AF,0
62.26787275556486,71.57408110450928,RUSSIA,EU,4
52.76738239539897,15.70489912632489,POLAND,EU,4
-10.13769629313637,-38.29619024534587,BRAZIL,SA,1
19.16703740973859,-90.22266794451431,MEXICO,NA,5
-17.28613568228925,-47.72384442988324,BRAZIL,SA,1
45.70617390876957,113.6875534036896,MONGOLIA,AS,2
74.11044158150301,-57.04101478294642,GREENLAND,NA,5
-28.92102236880561,-56.0991908934472,BRAZIL,SA,1
54.1277246435334,50.38180425151062,RUSSIA,EU,4
-33.26757067616727,-66.05035469103291,ARGENTINA,SA,1
61.48971356815598,152.2130579558122,RUSSIA,EU,4
52.87308703803595,18.63809217419215,POLAND,EU,4
-38.93490392060695,-63.62099336374509,ARGENTINA,SA,1
-32.06710472457407,122.4329056974668,AUSTRALIA,OC,3
-16.71038830315668,-40.89586266705386,BRAZIL,SA,1
45.44176052619399,27.09637794140569,ROMANIA,EU,4
-37.27810852212018,-60.85006381798199,ARGENTINA,SA,1
-29.34606998222358,145.8624103436561,AUSTRALIA,OC,3
6.454779667963582,-74.02551717393999,COLOMBIA,SA,1
-5.481198587486859,-36.91136417375711,BRAZIL,SA,1
15.67148647575855,80.21530466132546,INDIA,AS,2
-27.95519636400872,119.4579991013228,AUSTRALIA,OC,3
-28.78416214286889,-49.9823408134981,BRAZIL,SA,1
-1.109477491138055,-60.45898496403088,BRAZIL,SA,1
-5.592944878082931,-45.15258464512348,BRAZIL,SA,1
-51.01029846337148,-71.1768602034787,ARGENTINA,SA,1
62.10722963876746,117.6362565563643,RUSSIA,EU,4
51.28653149691419,19.49078377633696,POLAND,EU,4
9.17636331292987,0.01882895933701239,GHANA,AF,0
58.75447370325499,68.94844178903203,RUSSIA,EU,4
-22.77372311845919,29.35571294905196,SOUTH AFRICA,AF,0
-9.939063734872136,-57.13010689916126,BRAZIL,SA,1
46.17534471890626,100.7293925711094,MONGOLIA,AS,2
12.73521980970118,104.9939208254518,CAMBODIA,AS,2
52.49800048628735,43.17354650613942,RUSSIA,EU,4
53.84231103739958,20.14755769944897,POLAND,EU,4
-31.99212348237651,145.9754652379449,AUSTRALIA,OC,3
61.29312378162685,48.96903981454742,RUSSIA,EU,4
47.52462720821041,118.9518713772025,MONGOLIA,AS,2
11.16299267186056,105.9523423863123,CAMBODIA,AS,2
-28.02818617046273,118.5398960647079,AUSTRALIA,OC,3
46.13844488053991,113.3814387556653,MONGOLIA,AS,2
48.64588869585457,89.97346669292297,MONGOLIA,AS,2
-13.43818890618754,-43.16446299171988,BRAZIL,SA,1
37.35560141258692,35.55759169561753,TURKEY,AS,2
0.3901928428428933,36.29981722520318,KENYA,AF,0
-2.9665875522295,-47.64174818157034,BRAZIL,SA,1
-8.15907875748471,-63.79235908447988,BRAZIL,SA,1
-23.44224825347264,22.55637297403079,BOTSWANA,AF,0
-22.56785417593414,144.4529412200288,AUSTRALIA,OC,3
40.1149740706897,27.90380882636249,TURKEY,AS,2
-8.14145155741913,-70.7659572895827,BRAZIL,SA,1
63.36035031503384,46.536198058214,RUSSIA,EU,4
8.551204198116306,7.716167786944538,NIGERIA,AF,0
55.50467763185716,157.633891670723,RUSSIA,EU,4
-27.34715847989889,148.8961121936944,AUSTRALIA,OC,3
-32.42322058946932,148.9527302318806,AUSTRALIA,OC,3
62.57224852523245,12.57365344907356,SWEDEN,EU,4
14.29576585382551,-16.03697871567909,SENEGAL,AF,0
-6.770644238411125,-51.03334082459813,BRAZIL,SA,1
-24.97912462232312,-60.18096350400946,ARGENTINA,SA,1
26.31261702075583,-104.5467449216766,MEXICO,NA,5
-20.16702312032026,25.4031021576491,BOTSWANA,AF,0
37.76745675958623,39.42902000293326,TURKEY,AS,2
53.27553355774274,108.8362107027012,RUSSIA,EU,4
-23.49646370724957,-47.46054192877304,BRAZIL,SA,1
49.35264405850535,30.56698599795783,UKRAINE,EU,4
1.729011993040627,-50.87874193820154,BRAZIL,SA,1
0.04583376391964681,37.21106104283434,KENYA,AF,0
-50.56253829484134,-69.32965153185069,ARGENTINA,SA,1
-33.35791058923125,142.5727707210452,AUSTRALIA,OC,3
-21.79353670515589,-54.63441742900398,BRAZIL,SA,1
-16.19484471208019,-48.07396357114556,BRAZIL,SA,1
56.12451276842405,22.52135349989478,LITHUANIA,EU,4
-19.62316986771317,-50.09245238188246,BRAZIL,SA,1
14.35852801099374,76.19815623250814,INDIA,AS,2
36.88587342718983,-3.020766480865754,SPAIN,EU,4
57.72272312520676,66.23323954083003,RUSSIA,EU,4
48.42054516973998,22.28905407174674,UKRAINE,EU,4
15.8416414100081,-91.99234812912714,MEXICO,NA,5
8.175055936611656,8.594919222699955,NIGERIA,AF,0
